great tinamou,#6e794d,#484b2d,#a6b087,#e0e5d5,#232316,#564d38,#302a1a,#7b7260,#958b81,#afaaa2,#847a4e,#433d1f,#b4b176,#d1d592,#151408,#090c08,#68696c,#3f423e,#838598,#9ea1b5
rufous bellied chachalaca,#abbf7b,#7b8950,#4d4d31,#aca5a4,#6a6261,#d5dde3,#776b43,#978b57,#acad8b,#352a19,#483e2c,#b5a370,#7faee5,#e5d29b,#7f7350,#a1a54a,#758036,#45471f,#24220e,#725436
wagler's chachalaca,#a6c185,#3d3332,#90a272,#231818,#79746d,#69622e,#88863d,#382e0f,#1d160b,#9da04c,#4b502f,#838d69,#dde2dc,#303123,#a1ab92,#343224,#a79681,#80715d,#c1ae97,#dacab9
west mexican chachalaca,#4c4d3f,#92918d,#68685d,#2b281e,#b1afae,#8cb4e5,#474821,#a29660,#272015,#5f7c63,#99928d,#c8c8cd,#51463e,#e5e9f2,#2a221d,#797d6d,#9ea893,#44403f,#779246,#2d2726
white bellied chachalaca,#677960,#95a99d,#364434,#6e9a59,#b6bebb,#a1a549,#758036,#44471f,#24220e,#c09e24,#65875b,#404538,#91c285,#b2dcb0,#1b1c1d,#b7dcf0,#4f4e3d,#242020,#a69d72,#727e89
white vented chachalaca,#8a8a4b,#bebc74,#3f491e,#d9d4b3,#b7b51f,#666c5c,#3e4234,#969b87,#282920,#b4b4af,#594f49,#171512,#a69794,#e4dfdf,#736763,#7c826f,#535b3e,#a6aaa6,#3d422b,#c2c6c8
creasted guan,#fbfbfa,#586831,#1b2b24,#9ba24c,#dadbc9,#6b7c3b,#2c3729,#d4d0b9,#9c9d54,#f4f4f1,#576737,#f2f2ef,#162328,#d5d5ce,#a1a266,#5a6c2e,#253425,#929a4b,#ccb989,#0d1b21
crested guan,#fbfbfa,#586831,#1b2b24,#9aa24c,#dadbc9,#6c7c3b,#2d3729,#d5d1ba,#9c9c54,#f4f4f1,#576737,#f2f2ef,#162328,#d5d5ce,#a1a266,#5a6c2e,#253425,#929a4b,#c5b281,#385721
black guan,#f2f2f2,#383838,#c5c5c5,#787878,#a4a4a4,#eeedf0,#56555a,#28272c,#b8b6bb,#959499,#f2f2f2,#070707,#a1a1a1,#626262,#323232,#f1f1f1,#060606,#9e9e9e,#c8c8c8,#535353
black sickle winged guan,#858c56,#babc96,#464539,#d6d8cd,#646e3d,#7a8e5b,#464039,#c6d0b8,#a6cb5f,#994a54,#5a5e3e,#25290e,#8c955d,#6e7066,#a1ae65,#757753,#3e3326,#adb993,#d0dbca,#99a53b
black chachalaca,#343224,#a79681,#7f715d,#dacab9,#c3af9a,#726528,#4a3e16,#b2975a,#2a1e0f,#d4b37f,#667f2a,#819b43,#a58f76,#766148,#5a4933,#566153,#363a34,#7c8978,#e3e2e5,#181717
black penelopina,#616e4f,#272e21,#a3a09f,#c2c0cd,#c45151,#2a2e1a,#545a31,#909651,#c2c888,#a5b03f,#f1f3ee,#4a4635,#0f1511,#a4a076,#c86c49
highland guan,#d9eca0,#879f39,#203009,#87d126,#c06531,#8d9983,#bbc19f,#564e44,#cdc329,#385e9b,#a7af7e,#485536,#267e1e,#cfd1b3,#b2c220,#262619,#707235,#bbb8ac,#d7625c,#e2e4e4
