Name,id
Dark puce,315
Dark purple,316
Dark raspberry,317
Dark red,318
Dark salmon,319
Dark scarlet,320
Dark sea green,321
Dark sienna,322
Dark sky blue,323
Dark slate blue,324
Dark slate gray,325
Dark spring green,326
Dark tan,327
Dark tangerine,328
Dark taupe,329
Dark terra cotta,330
Dark turquoise,331
Dark vanilla,332
Dark violet,333
Dark yellow,334
Dartmouth green,335
Davy s grey,336
Debian red,337
Deep aquamarine,338
Deep carmine,339
Deep carmine pink,340
Deep carrot orange,341
Deep cerise,342
Deep champagne,343
Deep chestnut,344
Deep coffee,345
Deep fuchsia,346
Deep Green,347
Deep green-cyan turquoise,348
Deep jungle green,349
Deep koamaru,350
Deep lemon,351
Deep lilac,352
Deep magenta,353
Deep maroon,354
Deep mauve,355
Deep moss green,356
Deep peach,357
Deep pink,358
Deep puce,359
Deep Red,360
Deep ruby,361
Deep saffron,362
Deep sky blue,363
Deep Space Sparkle,364
Deep spring bud,365
Deep Taupe,366
Deep Tuscan red,367
Deep violet,368
Deer,369
Denim,370
Denim Blue,371
Desaturated cyan,372
Desert,373
Desert sand,374
Desire,375
Diamond,376
Dim gray,377
Dingy Dungeon,378
Dirt,379
Dodger blue,380
Dogwood rose,381
Dollar bill,382
Dolphin Gray,383
Donkey brown,384
Drab,385
Duke blue,386
Dust storm,387
Dutch white,388
Earth yellow,389
Ebony,390
Ecru,391
Eerie black,392
Eggplant,393
Eggshell,394
Egyptian blue,395
Electric blue,396
Electric crimson,397
Electric cyan,398
Electric green,399
Electric indigo,400
Electric lavender,401
Electric lime,402
Electric purple,403
Electric ultramarine,404
Electric violet,405
Electric yellow,406
Emerald,407
Eminence,408
English green,409
English lavender,410
English red,411
English vermillion,412
English violet,413
Eton blue,414
Eucalyptus,415
Fallow,416
Falu red,417
Fandango,418
Fandango pink,419
Fashion fuchsia,420
Fawn,421
Feldgrau,422
Feldspar,423
Fern green,424
Ferrari Red,425
Field drab,426
Fiery Rose,427
Firebrick,428
Fire engine red,429
Flame,430
Flamingo pink,431
Flattery,432
Flavescent,433
Flax,434
Flirt,435
Floral white,436
Fluorescent orange,437
Fluorescent pink,438
Fluorescent yellow,439
Folly,440
Forest green (traditional),441
Forest green (web),442
French beige,443
French bistre,444
French blue,445
French fuchsia,446
French lilac,447
French lime,448
French mauve,449
French pink,450
French plum,451
French puce,452
French raspberry,453
French rose,454
French sky blue,455
French violet,456
French wine,457
Fresh Air,458
Frostbite,459
Fuchsia,460
Fuchsia (Crayola),461
Fuchsia pink,462
Fuchsia purple,463
Fuchsia rose,464
Fulvous,465
Fuzzy Wuzzy,466
Gainsboro,467
Gamboge,468
Gamboge orange (brown),469
Gargoyle Gas,470
Generic viridian,471
Ghost white,472
Giant s Club,473
Giants orange,474
Ginger,475
Glaucous,476
Glitter,477
Glossy Grape,478
GO green,479
Gold (metallic),480
Gold (web) (Golden),481
Gold Fusion,482
Golden brown,483
Golden poppy,484
Golden yellow,485
Goldenrod,486
Granite Gray,487
Granny Smith Apple,488
Grape,489
Gray,490
Gray (HTML/CSS gray),491
Gray (X11 gray),492
Gray-asparagus,493
Gray-blue,494
Green (Color Wheel) (X11 green),495
Green (Crayola),496
Green (HTML/CSS color),497
Green (Munsell),498
Green (NCS),499
Green (Pantone),500
Green (pigment),501
Green (RYB),502
Green-blue,503
Green-cyan,504
Green Lizard,505
Green Sheen,506
Green-yellow,507
Grizzly,508
Grullo,509
Guppie green,510
Gunmetal,511
Han blue,512
Han purple,513
Hansa yellow,514
Harlequin,515
Harlequin green,516
Harvard crimson,517
Harvest gold,518
Heart Gold,519
Heat Wave,520
Heidelberg Red[2],521
Heliotrope,522
Heliotrope gray,523
Heliotrope magenta,524
Hollywood cerise,525
Honeydew,526
Honolulu blue,527
Hooker s green,528
Hot magenta,529
Hot pink,530
Hunter green,531
Iceberg,532
Icterine,533
Iguana Green,534
Illuminating Emerald,535
Imperial,536
Imperial blue,537
Imperial purple,538
Imperial red,539
Inchworm,540
Independence,541
India green,542
Indian red,543
Indian yellow,544
Indigo,545
Indigo dye,546
Indigo (web),547
Infra Red,548
Interdimensional Blue,549
International Klein Blue,550
International orange (aerospace),551
International orange (engineering),552
International orange (Golden Gate Bridge),553
Iris,554
Irresistible,555
Isabelline,556
Islamic green,557
Italian sky blue,558
Ivory,559
Jade,560
Japanese carmine,561
Japanese indigo,562
Japanese violet,563
Jasmine,564
Jasper,565
Jazzberry jam,566
Jelly Bean,567
Jet,568
Jonquil,569
Jordy blue,570
June bud,571
Jungle green,572
Kelly green,573
Kenyan copper,574
Keppel,575
Key Lime,576
